Symbol,UnderlyingPrice,OptionSymbol,Type,Expiration,DataDate,DaysLeft,Strike,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,PurchasePrice,ExpirationPrice,Profit,calliv,putiv,meaniv,callvol,putvol,calloi,putoi
FB,151.53,FB170623P00100000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,100.0,0,0,0.6271,-0.0027,0.0361,-0.4464,0.3133,0.02,0.01,-0.01,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623C00100000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,100.0,0,0,0.9809,0.9676,0.1986,-6.0734,2.6946,52.05,52.6,0.76,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623P00095000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,95.0,0,0,0.6981,-0.0025,0.0295,-0.4525,0.2853,0.02,0.0,-0.02,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119C00155000,call,2018-01-19 00:00:00,2017-06-01 00:00:00,232,155.0,1378,9713,0.2466,0.4965,1.3389,-2.606,48.193,10.35,10.5,0.15,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119P00155000,put,2018-01-19 00:00:00,2017-06-01 00:00:00,232,155.0,42,1888,0.2233,-0.5117,1.4782,-2.2568,48.1743,12.45,11.1,-1.35,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119C00160000,call,2018-01-19 00:00:00,2017-06-01 00:00:00,232,160.0,258,15059,0.2421,0.4297,1.3429,-2.5143,47.445,8.1,8.2,0.1,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119P00160000,put,2018-01-19 00:00:00,2017-06-01 00:00:00,232,160.0,8,1738,0.2163,-0.587,1.49,-2.1221,47.0437,15.3,13.87,-1.43,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119C00165000,call,2018-01-19 00:00:00,2017-06-01 00:00:00,232,165.0,78,9299,0.2361,0.3632,1.3155,-2.3404,45.3343,6.2,6.2,0.0,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119P00165000,put,2018-01-19 00:00:00,2017-06-01 00:00:00,232,165.0,29,1324,0.2137,-0.6574,1.4236,-1.9633,44.3921,18.45,16.85,-1.6,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119C00170000,call,2018-01-19 00:00:00,2017-06-01 00:00:00,232,170.0,72,9529,0.2312,0.3004,1.2457,-2.1217,42.0276,4.8,4.7,-0.1,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119P00170000,put,2018-01-19 00:00:00,2017-06-01 00:00:00,232,170.0,35,714,0.2093,-0.7245,1.3207,-1.7299,40.3473,22.05,20.3,-1.75,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119C00175000,call,2018-01-19 00:00:00,2017-06-01 00:00:00,232,175.0,64,11554,0.228,0.2442,1.1396,-1.8856,37.914,3.5,3.67,0.17,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119P00175000,put,2018-01-19 00:00:00,2017-06-01 00:00:00,232,175.0,0,863,0.2064,-0.7832,1.1774,-1.4786,35.4662,25.6,25.6,0.0,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119C00180000,call,2018-01-19 00:00:00,2017-06-01 00:00:00,232,180.0,29,13750,0.2271,0.1973,1.0118,-1.6606,33.541,2.71,2.47,-0.24,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623C00127000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,127.0,0,0,0.4959,0.9348,0.6887,-5.4075,4.7257,25.1,25.7,0.71,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119P00180000,put,2018-01-19 00:00:00,2017-06-01 00:00:00,232,180.0,0,1087,0.2035,-0.8341,1.0135,-1.2127,30.0967,29.65,28.1,-1.55,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119P00185000,put,2018-01-19 00:00:00,2017-06-01 00:00:00,232,185.0,10,446,0.2001,-0.8772,0.841,-0.9449,24.565,34.55,32.65,-1.9,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119C00190000,call,2018-01-19 00:00:00,2017-06-01 00:00:00,232,190.0,39,2263,0.2247,0.1221,0.7461,-1.1967,24.4689,1.4,1.29,-0.11,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119P00190000,put,2018-01-19 00:00:00,2017-06-01 00:00:00,232,190.0,0,122,0.2231,-0.8798,0.7431,-1.0454,24.1995,39.65,42.62,2.97,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119C00195000,call,2018-01-19 00:00:00,2017-06-01 00:00:00,232,195.0,17,2182,0.2248,0.0953,0.6239,-1.001,20.47,1.06,1.0,-0.06,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119P00195000,put,2018-01-19 00:00:00,2017-06-01 00:00:00,232,195.0,0,773,0.2324,-0.8962,0.6424,-0.9676,21.7854,42.71,42.71,0.0,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119C00200000,call,2018-01-19 00:00:00,2017-06-01 00:00:00,232,200.0,96,11339,0.2241,0.0728,0.5112,-0.8145,16.7185,0.8,0.66,-0.14,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119P00200000,put,2018-01-19 00:00:00,2017-06-01 00:00:00,232,200.0,2,489,0.2445,-0.9063,0.5666,-0.9377,20.2196,49.28,48.25,-1.03,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119C00205000,call,2018-01-19 00:00:00,2017-06-01 00:00:00,232,205.0,0,8,0.2468,0.0765,0.4817,-0.9306,17.355,0.0,0.95,0.95,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119P00205000,put,2018-01-19 00:00:00,2017-06-01 00:00:00,232,205.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.19,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119C00210000,call,2018-01-19 00:00:00,2017-06-01 00:00:00,232,210.0,100,4716,0.2291,0.0459,0.3477,-0.5785,11.626,0.47,0.36,-0.11,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623C00095000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,95.0,0,0,1.0838,0.9705,0.1663,-6.2056,2.4937,57.05,57.6,0.76,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119C00185000,call,2018-01-19 00:00:00,2017-06-01 00:00:00,232,185.0,0,3150,0.2261,0.1566,0.8786,-1.4273,28.9879,2.07,1.94,-0.13,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB180119P00150000,put,2018-01-19 00:00:00,2017-06-01 00:00:00,232,150.0,265,8511,0.2291,-0.4382,1.4241,-2.2986,47.615,9.95,8.9,-1.05,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623P00127000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,127.0,0,0,0.3235,-0.0117,0.2547,-0.8371,1.1399,0.05,0.0,-0.05,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623P00128000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,128.0,0,164,0.3109,-0.0122,0.2736,-0.8306,1.1771,0.05,0.09,0.04,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623C00143000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,143.0,0,581,0.2171,0.868,2.6483,-4.0084,7.9532,9.1,11.0,1.9,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623P00143000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,143.0,3,453,0.1987,-0.1121,2.5788,-3.1891,7.088,0.41,0.2,-0.21,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623C00144000,call,2017-06-23 00:00:00,2017-06-01 00:00:00,22,144.0,0,62,0.2047,0.8514,3.043,-4.0946,8.6197,8.15,9.1,0.95,0.1736,0.1711,0.1724,96801,53676,1207852,856175
FB,151.53,FB170623P00144000,put,2017-06-23 00:00:00,2017-06-01 00:00:00,22,144.0,6,296,0.1954,-0.1379,3.0311,-3.6259,8.1951,0.47,0.24,-0.23,0.1736,0.1711,0.1724,96801,53676,1207852,856175
