Symbol,UnderlyingPrice,OptionSymbol,Type,Expiration,DataDate,DaysLeft,Strike,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,PurchasePrice,ExpirationPrice,Profit,calliv,putiv,meaniv,callvol,putvol,calloi,putoi
NAVI,14.63,NAVI170721P00012500,put,2017-07-21 00:00:00,2017-06-01 00:00:00,50,12.5,0,816,0.4829,-0.1656,9.5162,-0.6489,1.3473,0.25,0.25,0.0,0.3919,0.3989,0.3954,11,91,17867,35074
NAVI,14.63,NAVI170721C00012500,call,2017-07-21 00:00:00,2017-06-01 00:00:00,50,12.5,0,51,0.4944,0.8298,9.4611,-0.6847,1.3713,2.3,2.3,0.0,0.3919,0.3989,0.3954,11,91,17867,35074
NAVI,14.63,NAVI170721P00010000,put,2017-07-21 00:00:00,2017-06-01 00:00:00,50,10.0,0,345,0.778,-0.0712,3.2308,-0.5726,0.7369,0.15,0.25,0.1,0.3919,0.3989,0.3954,11,91,17867,35074
NAVI,14.63,NAVI170721C00010000,call,2017-07-21 00:00:00,2017-06-01 00:00:00,50,10.0,0,0,0.7999,0.9243,3.2925,-0.6237,0.7721,4.8,4.3,-0.37,0.3919,0.3989,0.3954,11,91,17867,35074
NAVI,14.63,NAVI170721P00007500,put,2017-07-21 00:00:00,2017-06-01 00:00:00,50,7.5,0,27,1.1288,-0.0352,1.2706,-0.4743,0.4205,0.05,0.05,0.0,0.3919,0.3989,0.3954,11,91,17867,35074
NAVI,14.63,NAVI170721C00007500,call,2017-07-21 00:00:00,2017-06-01 00:00:00,50,7.5,0,0,1.268,0.9515,1.4671,-0.6961,0.5454,7.3,6.8,-0.37,0.3919,0.3989,0.3954,11,91,17867,35074
NAVI,14.63,NAVI170721P00005000,put,2017-07-21 00:00:00,2017-06-01 00:00:00,50,5.0,0,0,1.7242,-0.0226,0.5759,-0.5017,0.2911,0.1,0.0,-0.1,0.3919,0.3989,0.3954,11,91,17867,35074
NAVI,14.63,NAVI170721C00005000,call,2017-07-21 00:00:00,2017-06-01 00:00:00,50,5.0,0,0,1.9268,0.9687,0.6748,-0.7375,0.3812,9.8,9.3,-0.37,0.3919,0.3989,0.3954,11,91,17867,35074
NAVI,14.63,NAVI171020C00010000,call,2017-10-20 00:00:00,2017-06-01 00:00:00,141,10.0,0,0,0.6027,0.886,3.5195,-0.3803,1.7539,5.0,4.5,-0.5,0.3919,0.3989,0.3954,11,91,17867,35074
NAVI,14.63,NAVI171020P00010000,put,2017-10-20 00:00:00,2017-06-01 00:00:00,141,10.0,0,27,0.5672,-0.1042,3.5047,-0.3294,1.6437,0.3,0.3,0.0,0.3919,0.3989,0.3954,11,91,17867,35074
